Index,Series Name,Period,Frequency,Value,Units
99,"Henry Hub Natural Gas Spot Price, Daily",20200615,D,1.64,Dollars per Million Btu
100,"Henry Hub Natural Gas Spot Price, Daily",20200612,D,1.67,Dollars per Million Btu
101,"Henry Hub Natural Gas Spot Price, Daily",20200611,D,1.77,Dollars per Million Btu
102,"Henry Hub Natural Gas Spot Price, Daily",20200610,D,1.72,Dollars per Million Btu
103,"Henry Hub Natural Gas Spot Price, Daily",20200609,D,1.68,Dollars per Million Btu
104,"Henry Hub Natural Gas Spot Price, Daily",20200608,D,1.68,Dollars per Million Btu
105,"Henry Hub Natural Gas Spot Price, Daily",20200605,D,1.8,Dollars per Million Btu
106,"Henry Hub Natural Gas Spot Price, Daily",20200604,D,1.68,Dollars per Million Btu
107,"Henry Hub Natural Gas Spot Price, Daily",20200603,D,1.84,Dollars per Million Btu
108,"Henry Hub Natural Gas Spot Price, Daily",20200602,D,1.58,Dollars per Million Btu
109,"Henry Hub Natural Gas Spot Price, Daily",20200601,D,1.59,Dollars per Million Btu
110,"Henry Hub Natural Gas Spot Price, Daily",20200529,D,1.7,Dollars per Million Btu
111,"Henry Hub Natural Gas Spot Price, Daily",20200528,D,1.79,Dollars per Million Btu
112,"Henry Hub Natural Gas Spot Price, Daily",20200527,D,1.78,Dollars per Million Btu
113,"Henry Hub Natural Gas Spot Price, Daily",20200526,D,1.79,Dollars per Million Btu
114,"Henry Hub Natural Gas Spot Price, Daily",20200522,D,1.7,Dollars per Million Btu
115,"Henry Hub Natural Gas Spot Price, Daily",20200521,D,1.75,Dollars per Million Btu
116,"Henry Hub Natural Gas Spot Price, Daily",20200520,D,1.83,Dollars per Million Btu
117,"Henry Hub Natural Gas Spot Price, Daily",20200519,D,1.85,Dollars per Million Btu
118,"Henry Hub Natural Gas Spot Price, Daily",20200518,D,1.77,Dollars per Million Btu
119,"Henry Hub Natural Gas Spot Price, Daily",20200515,D,1.66,Dollars per Million Btu
120,"Henry Hub Natural Gas Spot Price, Daily",20200514,D,1.6,Dollars per Million Btu
121,"Henry Hub Natural Gas Spot Price, Daily",20200513,D,1.56,Dollars per Million Btu
122,"Henry Hub Natural Gas Spot Price, Daily",20200512,D,1.61,Dollars per Million Btu
123,"Henry Hub Natural Gas Spot Price, Daily",20200511,D,1.7,Dollars per Million Btu
124,"Henry Hub Natural Gas Spot Price, Daily",20200508,D,1.74,Dollars per Million Btu
125,"Henry Hub Natural Gas Spot Price, Daily",20200507,D,1.84,Dollars per Million Btu
126,"Henry Hub Natural Gas Spot Price, Daily",20200506,D,1.9,Dollars per Million Btu
