Index,Series Name,Period,Frequency,Value,Units
107,"Cushing, OK Crude Oil Future Contract 1, Daily",20200604,D,37.41,Dollars per Barrel
108,"Cushing, OK Crude Oil Future Contract 1, Daily",20200603,D,37.29,Dollars per Barrel
109,"Cushing, OK Crude Oil Future Contract 1, Daily",20200602,D,36.81,Dollars per Barrel
110,"Cushing, OK Crude Oil Future Contract 1, Daily",20200601,D,35.44,Dollars per Barrel
111,"Cushing, OK Crude Oil Future Contract 1, Daily",20200529,D,35.49,Dollars per Barrel
112,"Cushing, OK Crude Oil Future Contract 1, Daily",20200528,D,33.71,Dollars per Barrel
113,"Cushing, OK Crude Oil Future Contract 1, Daily",20200527,D,32.81,Dollars per Barrel
114,"Cushing, OK Crude Oil Future Contract 1, Daily",20200526,D,34.35,Dollars per Barrel
115,"Cushing, OK Crude Oil Future Contract 1, Daily",20200522,D,33.25,Dollars per Barrel
116,"Cushing, OK Crude Oil Future Contract 1, Daily",20200521,D,33.92,Dollars per Barrel
117,"Cushing, OK Crude Oil Future Contract 1, Daily",20200520,D,33.49,Dollars per Barrel
118,"Cushing, OK Crude Oil Future Contract 1, Daily",20200519,D,32.5,Dollars per Barrel
119,"Cushing, OK Crude Oil Future Contract 1, Daily",20200518,D,31.82,Dollars per Barrel
120,"Cushing, OK Crude Oil Future Contract 1, Daily",20200515,D,29.43,Dollars per Barrel
121,"Cushing, OK Crude Oil Future Contract 1, Daily",20200514,D,27.56,Dollars per Barrel
122,"Cushing, OK Crude Oil Future Contract 1, Daily",20200513,D,25.29,Dollars per Barrel
123,"Cushing, OK Crude Oil Future Contract 1, Daily",20200512,D,25.78,Dollars per Barrel
124,"Cushing, OK Crude Oil Future Contract 1, Daily",20200511,D,24.14,Dollars per Barrel
125,"Cushing, OK Crude Oil Future Contract 1, Daily",20200508,D,24.74,Dollars per Barrel
126,"Cushing, OK Crude Oil Future Contract 1, Daily",20200507,D,23.55,Dollars per Barrel
127,"Cushing, OK Crude Oil Future Contract 1, Daily",20200506,D,23.99,Dollars per Barrel
128,"Cushing, OK Crude Oil Future Contract 1, Daily",20200505,D,24.56,Dollars per Barrel
129,"Cushing, OK Crude Oil Future Contract 1, Daily",20200504,D,20.39,Dollars per Barrel
130,"Cushing, OK Crude Oil Future Contract 1, Daily",20200501,D,19.78,Dollars per Barrel
131,"Cushing, OK Crude Oil Future Contract 1, Daily",20200430,D,18.84,Dollars per Barrel
132,"Cushing, OK Crude Oil Future Contract 1, Daily",20200429,D,15.06,Dollars per Barrel
133,"Cushing, OK Crude Oil Future Contract 1, Daily",20200428,D,12.34,Dollars per Barrel
134,"Cushing, OK Crude Oil Future Contract 1, Daily",20200427,D,12.78,Dollars per Barrel
135,"Cushing, OK Crude Oil Future Contract 1, Daily",20200424,D,16.94,Dollars per Barrel
136,"Cushing, OK Crude Oil Future Contract 1, Daily",20200423,D,16.5,Dollars per Barrel
137,"Cushing, OK Crude Oil Future Contract 1, Daily",20200422,D,13.78,Dollars per Barrel
138,"Cushing, OK Crude Oil Future Contract 1, Daily",20200421,D,10.01,Dollars per Barrel
139,"Cushing, OK Crude Oil Future Contract 1, Daily",20200420,D,-37.63,Dollars per Barrel
140,"Cushing, OK Crude Oil Future Contract 1, Daily",20200417,D,18.27,Dollars per Barrel
141,"Cushing, OK Crude Oil Future Contract 1, Daily",20200416,D,19.87,Dollars per Barrel
142,"Cushing, OK Crude Oil Future Contract 1, Daily",20200415,D,19.87,Dollars per Barrel
143,"Cushing, OK Crude Oil Future Contract 1, Daily",20200414,D,20.11,Dollars per Barrel
144,"Cushing, OK Crude Oil Future Contract 1, Daily",20200413,D,22.41,Dollars per Barrel
145,"Cushing, OK Crude Oil Future Contract 1, Daily",20200410,D,22.76,Dollars per Barrel
146,"Cushing, OK Crude Oil Future Contract 1, Daily",20200409,D,22.76,Dollars per Barrel
147,"Cushing, OK Crude Oil Future Contract 1, Daily",20200408,D,25.09,Dollars per Barrel
148,"Cushing, OK Crude Oil Future Contract 1, Daily",20200407,D,23.63,Dollars per Barrel
149,"Cushing, OK Crude Oil Future Contract 1, Daily",20200406,D,26.08,Dollars per Barrel
150,"Cushing, OK Crude Oil Future Contract 1, Daily",20200403,D,28.34,Dollars per Barrel
151,"Cushing, OK Crude Oil Future Contract 1, Daily",20200402,D,25.32,Dollars per Barrel
152,"Cushing, OK Crude Oil Future Contract 1, Daily",20200401,D,20.31,Dollars per Barrel
153,"Cushing, OK Crude Oil Future Contract 1, Daily",20200331,D,20.48,Dollars per Barrel
154,"Cushing, OK Crude Oil Future Contract 1, Daily",20200330,D,20.09,Dollars per Barrel
155,"Cushing, OK Crude Oil Future Contract 1, Daily",20200327,D,21.51,Dollars per Barrel
156,"Cushing, OK Crude Oil Future Contract 1, Daily",20200326,D,22.6,Dollars per Barrel
157,"Cushing, OK Crude Oil Future Contract 1, Daily",20200325,D,24.49,Dollars per Barrel
158,"Cushing, OK Crude Oil Future Contract 1, Daily",20200324,D,24.01,Dollars per Barrel
