Index,Series Name,Period,Frequency,Value,Units
117,"Cushing, OK WTI Spot Price FOB, Daily",20200520,D,33.56,Dollars per Barrel
118,"Cushing, OK WTI Spot Price FOB, Daily",20200519,D,32.3,Dollars per Barrel
119,"Cushing, OK WTI Spot Price FOB, Daily",20200518,D,31.83,Dollars per Barrel
120,"Cushing, OK WTI Spot Price FOB, Daily",20200515,D,29.44,Dollars per Barrel
121,"Cushing, OK WTI Spot Price FOB, Daily",20200514,D,27.4,Dollars per Barrel
122,"Cushing, OK WTI Spot Price FOB, Daily",20200513,D,25.37,Dollars per Barrel
123,"Cushing, OK WTI Spot Price FOB, Daily",20200512,D,25.76,Dollars per Barrel
124,"Cushing, OK WTI Spot Price FOB, Daily",20200511,D,24.02,Dollars per Barrel
125,"Cushing, OK WTI Spot Price FOB, Daily",20200508,D,24.73,Dollars per Barrel
126,"Cushing, OK WTI Spot Price FOB, Daily",20200507,D,23.68,Dollars per Barrel
127,"Cushing, OK WTI Spot Price FOB, Daily",20200506,D,23.88,Dollars per Barrel
128,"Cushing, OK WTI Spot Price FOB, Daily",20200505,D,24.56,Dollars per Barrel
129,"Cushing, OK WTI Spot Price FOB, Daily",20200504,D,20.47,Dollars per Barrel
130,"Cushing, OK WTI Spot Price FOB, Daily",20200501,D,19.72,Dollars per Barrel
131,"Cushing, OK WTI Spot Price FOB, Daily",20200430,D,19.23,Dollars per Barrel
132,"Cushing, OK WTI Spot Price FOB, Daily",20200429,D,15.04,Dollars per Barrel
133,"Cushing, OK WTI Spot Price FOB, Daily",20200428,D,12.4,Dollars per Barrel
134,"Cushing, OK WTI Spot Price FOB, Daily",20200427,D,12.17,Dollars per Barrel
135,"Cushing, OK WTI Spot Price FOB, Daily",20200424,D,15.99,Dollars per Barrel
136,"Cushing, OK WTI Spot Price FOB, Daily",20200423,D,15.06,Dollars per Barrel
137,"Cushing, OK WTI Spot Price FOB, Daily",20200422,D,13.64,Dollars per Barrel
138,"Cushing, OK WTI Spot Price FOB, Daily",20200421,D,8.91,Dollars per Barrel
139,"Cushing, OK WTI Spot Price FOB, Daily",20200420,D,-36.98,Dollars per Barrel
140,"Cushing, OK WTI Spot Price FOB, Daily",20200417,D,18.31,Dollars per Barrel
141,"Cushing, OK WTI Spot Price FOB, Daily",20200416,D,19.82,Dollars per Barrel
142,"Cushing, OK WTI Spot Price FOB, Daily",20200415,D,19.96,Dollars per Barrel
143,"Cushing, OK WTI Spot Price FOB, Daily",20200414,D,20.15,Dollars per Barrel
144,"Cushing, OK WTI Spot Price FOB, Daily",20200413,D,22.36,Dollars per Barrel
145,"Cushing, OK WTI Spot Price FOB, Daily",20200409,D,22.9,Dollars per Barrel
146,"Cushing, OK WTI Spot Price FOB, Daily",20200408,D,24.97,Dollars per Barrel
147,"Cushing, OK WTI Spot Price FOB, Daily",20200407,D,23.54,Dollars per Barrel
148,"Cushing, OK WTI Spot Price FOB, Daily",20200406,D,26.21,Dollars per Barrel
149,"Cushing, OK WTI Spot Price FOB, Daily",20200403,D,28.36,Dollars per Barrel
150,"Cushing, OK WTI Spot Price FOB, Daily",20200402,D,25.18,Dollars per Barrel
151,"Cushing, OK WTI Spot Price FOB, Daily",20200401,D,20.28,Dollars per Barrel
152,"Cushing, OK WTI Spot Price FOB, Daily",20200331,D,20.51,Dollars per Barrel
153,"Cushing, OK WTI Spot Price FOB, Daily",20200330,D,14.1,Dollars per Barrel
154,"Cushing, OK WTI Spot Price FOB, Daily",20200327,D,15.48,Dollars per Barrel
155,"Cushing, OK WTI Spot Price FOB, Daily",20200326,D,16.6,Dollars per Barrel
156,"Cushing, OK WTI Spot Price FOB, Daily",20200325,D,20.75,Dollars per Barrel
157,"Cushing, OK WTI Spot Price FOB, Daily",20200324,D,21.03,Dollars per Barrel
158,"Cushing, OK WTI Spot Price FOB, Daily",20200323,D,23.33,Dollars per Barrel
159,"Cushing, OK WTI Spot Price FOB, Daily",20200320,D,19.48,Dollars per Barrel
160,"Cushing, OK WTI Spot Price FOB, Daily",20200319,D,25.09,Dollars per Barrel
161,"Cushing, OK WTI Spot Price FOB, Daily",20200318,D,20.48,Dollars per Barrel
162,"Cushing, OK WTI Spot Price FOB, Daily",20200317,D,26.96,Dollars per Barrel
163,"Cushing, OK WTI Spot Price FOB, Daily",20200316,D,28.96,Dollars per Barrel
164,"Cushing, OK WTI Spot Price FOB, Daily",20200313,D,31.72,Dollars per Barrel
165,"Cushing, OK WTI Spot Price FOB, Daily",20200312,D,31.56,Dollars per Barrel
166,"Cushing, OK WTI Spot Price FOB, Daily",20200311,D,33.13,Dollars per Barrel
167,"Cushing, OK WTI Spot Price FOB, Daily",20200310,D,34.47,Dollars per Barrel
168,"Cushing, OK WTI Spot Price FOB, Daily",20200309,D,31.05,Dollars per Barrel
169,"Cushing, OK WTI Spot Price FOB, Daily",20200306,D,41.14,Dollars per Barrel
170,"Cushing, OK WTI Spot Price FOB, Daily",20200305,D,45.9,Dollars per Barrel
171,"Cushing, OK WTI Spot Price FOB, Daily",20200304,D,46.78,Dollars per Barrel
172,"Cushing, OK WTI Spot Price FOB, Daily",20200303,D,47.27,Dollars per Barrel
173,"Cushing, OK WTI Spot Price FOB, Daily",20200302,D,46.78,Dollars per Barrel
174,"Cushing, OK WTI Spot Price FOB, Daily",20200228,D,44.83,Dollars per Barrel
175,"Cushing, OK WTI Spot Price FOB, Daily",20200227,D,47.17,Dollars per Barrel
176,"Cushing, OK WTI Spot Price FOB, Daily",20200226,D,48.67,Dollars per Barrel
177,"Cushing, OK WTI Spot Price FOB, Daily",20200225,D,49.78,Dollars per Barrel
178,"Cushing, OK WTI Spot Price FOB, Daily",20200224,D,51.36,Dollars per Barrel
179,"Cushing, OK WTI Spot Price FOB, Daily",20200221,D,53.36,Dollars per Barrel
180,"Cushing, OK WTI Spot Price FOB, Daily",20200220,D,53.77,Dollars per Barrel
181,"Cushing, OK WTI Spot Price FOB, Daily",20200219,D,53.31,Dollars per Barrel
182,"Cushing, OK WTI Spot Price FOB, Daily",20200218,D,52.1,Dollars per Barrel
183,"Cushing, OK WTI Spot Price FOB, Daily",20200217,D,52.03,Dollars per Barrel
184,"Cushing, OK WTI Spot Price FOB, Daily",20200214,D,52.03,Dollars per Barrel
185,"Cushing, OK WTI Spot Price FOB, Daily",20200213,D,51.41,Dollars per Barrel
186,"Cushing, OK WTI Spot Price FOB, Daily",20200212,D,51.13,Dollars per Barrel
187,"Cushing, OK WTI Spot Price FOB, Daily",20200211,D,50.0,Dollars per Barrel
188,"Cushing, OK WTI Spot Price FOB, Daily",20200210,D,49.59,Dollars per Barrel
189,"Cushing, OK WTI Spot Price FOB, Daily",20200207,D,50.34,Dollars per Barrel
190,"Cushing, OK WTI Spot Price FOB, Daily",20200206,D,50.94,Dollars per Barrel
191,"Cushing, OK WTI Spot Price FOB, Daily",20200205,D,50.87,Dollars per Barrel
192,"Cushing, OK WTI Spot Price FOB, Daily",20200204,D,49.59,Dollars per Barrel
193,"Cushing, OK WTI Spot Price FOB, Daily",20200203,D,50.06,Dollars per Barrel
194,"Cushing, OK WTI Spot Price FOB, Daily",20200131,D,51.58,Dollars per Barrel
195,"Cushing, OK WTI Spot Price FOB, Daily",20200130,D,52.19,Dollars per Barrel
196,"Cushing, OK WTI Spot Price FOB, Daily",20200129,D,53.29,Dollars per Barrel
197,"Cushing, OK WTI Spot Price FOB, Daily",20200128,D,53.33,Dollars per Barrel
198,"Cushing, OK WTI Spot Price FOB, Daily",20200127,D,53.09,Dollars per Barrel
199,"Cushing, OK WTI Spot Price FOB, Daily",20200124,D,54.09,Dollars per Barrel
200,"Cushing, OK WTI Spot Price FOB, Daily",20200123,D,55.51,Dollars per Barrel
201,"Cushing, OK WTI Spot Price FOB, Daily",20200122,D,56.76,Dollars per Barrel
202,"Cushing, OK WTI Spot Price FOB, Daily",20200121,D,58.25,Dollars per Barrel
203,"Cushing, OK WTI Spot Price FOB, Daily",20200117,D,58.55,Dollars per Barrel
204,"Cushing, OK WTI Spot Price FOB, Daily",20200116,D,58.52,Dollars per Barrel
205,"Cushing, OK WTI Spot Price FOB, Daily",20200115,D,57.86,Dollars per Barrel
206,"Cushing, OK WTI Spot Price FOB, Daily",20200114,D,58.34,Dollars per Barrel
207,"Cushing, OK WTI Spot Price FOB, Daily",20200113,D,58.17,Dollars per Barrel
208,"Cushing, OK WTI Spot Price FOB, Daily",20200110,D,59.02,Dollars per Barrel
209,"Cushing, OK WTI Spot Price FOB, Daily",20200109,D,59.56,Dollars per Barrel
210,"Cushing, OK WTI Spot Price FOB, Daily",20200108,D,59.65,Dollars per Barrel
211,"Cushing, OK WTI Spot Price FOB, Daily",20200107,D,62.7,Dollars per Barrel
212,"Cushing, OK WTI Spot Price FOB, Daily",20200106,D,63.27,Dollars per Barrel
213,"Cushing, OK WTI Spot Price FOB, Daily",20200103,D,63.0,Dollars per Barrel
214,"Cushing, OK WTI Spot Price FOB, Daily",20200102,D,61.17,Dollars per Barrel
215,"Cushing, OK WTI Spot Price FOB, Daily",20200101,D,61.14,Dollars per Barrel
216,"Cushing, OK WTI Spot Price FOB, Daily",20191231,D,61.14,Dollars per Barrel
217,"Cushing, OK WTI Spot Price FOB, Daily",20191230,D,61.66,Dollars per Barrel
218,"Cushing, OK WTI Spot Price FOB, Daily",20191227,D,61.76,Dollars per Barrel
219,"Cushing, OK WTI Spot Price FOB, Daily",20191226,D,61.72,Dollars per Barrel
220,"Cushing, OK WTI Spot Price FOB, Daily",20191225,D,61.17,Dollars per Barrel
221,"Cushing, OK WTI Spot Price FOB, Daily",20191224,D,61.17,Dollars per Barrel
222,"Cushing, OK WTI Spot Price FOB, Daily",20191223,D,60.51,Dollars per Barrel
223,"Cushing, OK WTI Spot Price FOB, Daily",20191220,D,60.43,Dollars per Barrel
224,"Cushing, OK WTI Spot Price FOB, Daily",20191219,D,61.3,Dollars per Barrel
225,"Cushing, OK WTI Spot Price FOB, Daily",20191218,D,60.93,Dollars per Barrel
226,"Cushing, OK WTI Spot Price FOB, Daily",20191217,D,60.88,Dollars per Barrel
227,"Cushing, OK WTI Spot Price FOB, Daily",20191216,D,60.21,Dollars per Barrel
228,"Cushing, OK WTI Spot Price FOB, Daily",20191213,D,60.11,Dollars per Barrel
229,"Cushing, OK WTI Spot Price FOB, Daily",20191212,D,59.18,Dollars per Barrel
230,"Cushing, OK WTI Spot Price FOB, Daily",20191211,D,58.74,Dollars per Barrel
231,"Cushing, OK WTI Spot Price FOB, Daily",20191210,D,59.22,Dollars per Barrel
232,"Cushing, OK WTI Spot Price FOB, Daily",20191209,D,58.99,Dollars per Barrel
233,"Cushing, OK WTI Spot Price FOB, Daily",20191206,D,59.2,Dollars per Barrel
234,"Cushing, OK WTI Spot Price FOB, Daily",20191205,D,58.42,Dollars per Barrel
235,"Cushing, OK WTI Spot Price FOB, Daily",20191204,D,58.46,Dollars per Barrel
