,Date,Low,High,Open,Close,Volume
204,2020-04-09,253.24,275.15,267.52,256.37,58111.42167588
205,2020-04-08,249.86,281.23,252.59,267.38,116633.20233471
206,2020-04-07,246.69,265.95,258.48,252.59,57558.26184355
207,2020-04-06,231.25,259.8,231.25,258.41,60348.23302076
208,2020-04-05,224.73,240.35,239.27,231.42,30257.30987335
209,2020-04-04,232.34,242.95,236.24,239.27,21494.45743283
210,2020-04-03,230.56,242.2,232.17,236.29,33300.07165167
211,2020-04-02,222.61,249.94,224.29,232.11,67339.33482554
212,2020-04-01,210.5,225.26,219.01,224.28,32059.14990296
213,2020-03-31,216.0,224.32,220.53,219.0,29048.11339279
214,2020-03-30,205.24,227.23,205.42,220.41,42829.17166902
215,2020-03-29,204.0,218.51,214.31,205.45,35692.1359008
216,2020-03-28,203.15,217.72,213.69,214.29,54855.42921791
217,2020-03-27,204.33,236.09,228.81,213.88,65357.06221141
218,2020-03-26,218.05,229.49,221.0,228.81,44532.82661475
219,2020-03-25,213.34,231.24,228.01,220.94,49084.78599333
220,2020-03-24,218.29,231.0,222.01,228.03,59400.62840544
221,2020-03-23,198.27,228.98,202.64,222.44,83348.19325769
222,2020-03-22,200.16,233.19,220.14,202.75,73943.92856301
223,2020-03-21,206.42,228.93,214.96,220.35,67540.29601324
224,2020-03-20,189.41,246.0,221.77,214.51,132874.96205562
225,2020-03-19,177.57,235.22,185.37,221.78,143023.48322156
226,2020-03-18,169.45,186.58,183.22,185.38,64121.33895999
227,2020-03-17,169.38,189.78,173.39,182.79,107136.17327721
228,2020-03-16,147.0,184.14,177.6,173.26,145316.62383602
229,2020-03-15,164.63,192.0,166.85,177.47,91135.838067
230,2020-03-14,163.4,185.23,180.44,166.89,76343.6471099
231,2020-03-13,133.67,200.0,146.5,180.12,286032.23012862
232,2020-03-12,141.13,267.95,267.53,146.77,237545.27205845
233,2020-03-11,250.2,274.97,271.51,267.28,41811.89405207
234,2020-03-10,262.48,278.51,273.05,271.58,39351.73118245
235,2020-03-09,252.33,286.0,274.19,273.05,94491.02036902
236,2020-03-08,269.0,331.23,331.23,274.19,77651.34489589
237,2020-03-07,328.02,351.91,351.6,331.3,23598.72601294
238,2020-03-06,332.95,352.96,336.72,351.38,37663.34341147
239,2020-03-05,319.59,343.85,319.69,336.5,42581.94135077
240,2020-03-04,311.0,332.55,329.61,319.73,27367.3532878
241,2020-03-03,319.3,339.8,339.73,329.79,31971.51453545
242,2020-03-02,309.79,344.49,311.48,339.73,46912.20160086
243,2020-03-01,303.29,324.8,305.96,311.65,32191.05406613
244,2020-02-29,305.42,322.77,315.68,305.96,22575.09593031
245,2020-02-28,298.74,329.76,324.99,316.03,38165.0890922
246,2020-02-27,306.51,335.52,316.58,324.2,46128.43965114
247,2020-02-26,301.1,361.79,352.69,316.5,73965.65726964
248,2020-02-25,345.08,379.39,377.92,352.36,38026.02384697
249,2020-02-24,363.64,409.66,402.82,377.62,40383.36268043
250,2020-02-23,373.19,405.98,373.47,402.63,24396.3209365
251,2020-02-22,367.62,380.85,378.5,373.99,15325.55229823
252,2020-02-21,366.7,389.81,371.49,378.39,30926.85447806
253,2020-02-20,352.4,387.56,378.65,371.65,58800.03493972
254,2020-02-19,370.0,424.88,421.8,379.22,46195.08252519
255,2020-02-18,386.7,428.09,413.0,421.11,50050.14107728
256,2020-02-17,367.77,417.2,411.5,413.0,78694.33330578
257,2020-02-16,380.77,458.4,438.73,411.59,64441.57950462
258,2020-02-15,420.0,496.0,494.24,439.03,49868.655891
259,2020-02-14,466.0,497.53,476.93,494.59,28760.72918281
260,2020-02-13,459.17,486.96,474.42,476.99,36864.13148
261,2020-02-12,463.8,483.24,464.24,474.43,43788.37471511
262,2020-02-11,440.61,470.91,452.14,463.85,37474.11535237
263,2020-02-10,436.0,463.0,450.26,452.48,32740.86400926
264,2020-02-09,434.23,461.36,444.97,450.76,29448.53718409
265,2020-02-08,422.17,454.6,439.53,444.98,25561.91047463
266,2020-02-07,431.42,459.49,444.76,439.39,29607.00688646
267,2020-02-06,417.61,448.38,444.68,444.99,47499.55590096
268,2020-02-05,377.55,445.1,379.71,444.68,63647.20231737
269,2020-02-04,371.92,389.04,383.91,379.47,21853.32599698
270,2020-02-03,374.16,392.19,377.38,383.55,29027.08397299
271,2020-02-02,368.24,387.4,379.97,377.22,22665.89163325
272,2020-02-01,371.96,388.88,375.65,379.98,26364.47144561
273,2020-01-31,363.0,394.76,391.84,374.49,39722.5662985
274,2020-01-30,369.55,396.0,379.44,391.99,42931.23999517
275,2020-01-29,375.17,395.85,379.28,379.65,54206.2398022
276,2020-01-28,359.52,384.49,362.02,378.86,61672.97195987
277,2020-01-27,346.78,376.6,347.64,362.04,58559.72716718
278,2020-01-26,306.75,348.77,309.55,347.33,41376.86718721
279,2020-01-25,304.73,318.57,317.88,309.73,27469.40361793
280,2020-01-24,296.69,327.0,324.46,318.38,54480.31725566
281,2020-01-23,315.0,348.85,347.95,324.59,46121.64727599
282,2020-01-22,338.49,354.53,343.01,348.4,25277.03508155
283,2020-01-21,331.74,347.0,342.44,342.98,25777.83291802
284,2020-01-20,322.38,354.42,339.11,342.41,46431.92553219
285,2020-01-19,320.26,365.7,339.39,339.04,77300.25144785
286,2020-01-18,330.0,405.0,366.59,339.49,154736.27889695
287,2020-01-17,319.4,383.0,326.5,367.24,108276.14540188
288,2020-01-16,309.46,342.4,339.72,326.76,60185.5047047
289,2020-01-15,312.07,362.28,348.38,339.4,139482.53281532
290,2020-01-14,267.0,368.32,267.0,348.58,224992.46135785
291,2020-01-13,260.78,273.0,270.73,267.01,14300.99615459
292,2020-01-12,258.03,271.48,260.96,270.6,13722.30832814
293,2020-01-11,258.31,279.56,271.82,260.96,38720.8358424
294,2020-01-10,231.11,274.98,237.86,271.83,65757.16604584
295,2020-01-09,231.14,243.92,239.82,237.65,17973.84137491
296,2020-01-08,229.73,255.1,242.78,239.82,46528.64110339
297,2020-01-07,232.12,247.64,244.43,242.72,37215.99507227
298,2020-01-06,222.05,247.0,222.59,244.47,36248.00126967
0,2020-01-05,219.75,227.48,224.67,222.71,13646.98313616
1,2020-01-04,215.5,226.98,221.16,224.31,26987.28049003
2,2020-01-03,191.48,225.6,194.9,221.16,51956.78327708
3,2020-01-02,192.38,204.67,203.62,194.97,21230.93584067
4,2020-01-01,202.26,208.25,203.81,203.59,9741.11758861
5,2019-12-31,200.57,213.43,207.51,203.65,14044.44402336
6,2019-12-30,204.89,214.42,212.13,207.72,10196.11527735
7,2019-12-29,204.2,215.8,205.73,212.14,16520.46836184
8,2019-12-28,202.44,209.7,202.97,205.69,14422.55305169
9,2019-12-27,186.55,204.34,187.58,202.97,33845.18821907
10,2019-12-26,183.84,194.33,185.04,187.55,11147.5257708
11,2019-12-25,182.58,188.74,188.74,185.15,8275.34807389
12,2019-12-24,185.1,191.49,189.65,188.77,8285.33615804
13,2019-12-23,187.36,198.25,196.52,189.6,11620.34693345
14,2019-12-22,185.87,197.65,186.35,196.55,11903.3315119
15,2019-12-21,185.59,188.33,187.47,186.31,5089.00399785
16,2019-12-20,183.57,190.64,186.14,187.3,12125.38927238
17,2019-12-19,182.55,190.67,188.81,186.06,25935.74281459
18,2019-12-18,170.03,191.87,176.61,188.71,44773.35763094
19,2019-12-17,171.0,196.75,195.95,176.53,36620.07214342
20,2019-12-16,193.6,207.69,206.91,195.95,32271.5772392
21,2019-12-15,205.0,209.79,206.0,206.84,7920.89481832
22,2019-12-14,204.61,213.2,211.52,205.85,6026.73502777
23,2019-12-13,205.94,212.46,206.37,211.52,8627.74211941
24,2019-12-12,203.52,207.94,207.0,206.37,7878.80877692
25,2019-12-11,204.01,208.16,206.63,206.7,6258.74764755
26,2019-12-10,203.68,209.04,208.29,206.8,13650.52514405
27,2019-12-09,205.87,215.35,212.71,208.25,10117.98155498
28,2019-12-08,208.49,215.35,211.41,212.55,6414.80334513
29,2019-12-07,210.2,216.59,213.24,211.38,7530.97967352
30,2019-12-06,209.0,214.13,211.61,213.24,11007.06608375
31,2019-12-05,205.37,214.47,207.5,211.6,14272.55428804
32,2019-12-04,203.0,220.64,211.64,207.5,26736.89629219
33,2019-12-03,210.97,216.19,214.0,211.68,12864.18685502
34,2019-12-02,209.51,216.5,214.55,214.01,11164.02523844
35,2019-12-01,206.5,218.18,217.91,214.36,14943.57977687
36,2019-11-30,214.79,225.18,224.36,218.01,11888.53667644
37,2019-11-29,217.54,227.04,217.72,224.28,16308.76025344
38,2019-11-28,216.5,222.78,219.87,217.48,17991.16817906
39,2019-11-27,203.61,225.89,211.2,219.83,38933.46291248
40,2019-11-26,207.4,215.0,207.64,211.15,24475.72849233
41,2019-11-25,192.1,216.5,202.53,207.9,59091.48078078
42,2019-11-24,200.46,216.77,215.37,202.43,22124.03476785
43,2019-11-23,203.54,218.74,208.38,215.37,37653.96591779
44,2019-11-22,195.15,229.37,225.98,208.5,71579.91549674
45,2019-11-21,216.9,246.35,242.93,226.0,38869.22313122
46,2019-11-20,237.35,248.22,241.81,243.01,15387.60029806
47,2019-11-19,232.69,247.89,245.75,241.69,27636.18445957
48,2019-11-18,237.5,265.99,265.99,245.88,27510.04853008
49,2019-11-17,260.11,270.27,265.08,265.99,9513.9013945
50,2019-11-16,261.22,267.68,262.75,265.09,11128.72904111
51,2019-11-15,257.98,279.0,277.08,262.65,29789.16922514
52,2019-11-14,272.0,286.16,284.98,277.17,31738.05469713
53,2019-11-13,281.23,289.51,289.19,284.92,11509.94942403
54,2019-11-12,280.51,291.61,286.16,289.15,14695.68570422
55,2019-11-11,280.75,297.21,292.74,286.41,16597.13030837
56,2019-11-10,279.0,301.72,282.51,292.74,24018.12939688
57,2019-11-09,275.55,283.81,277.08,282.52,13864.69529924
58,2019-11-08,269.1,295.0,291.61,276.91,27776.72770575
59,2019-11-07,285.86,306.45,305.53,291.72,21994.47955064
60,2019-11-06,291.41,308.21,293.16,305.42,27858.03709981
61,2019-11-05,286.2,298.79,291.17,293.3,18179.85036184
62,2019-11-04,284.26,295.0,291.65,291.13,20921.52345493
63,2019-11-03,282.51,304.48,290.18,291.64,20977.21269086
64,2019-11-02,278.32,296.74,279.1,290.04,21738.40525712
65,2019-11-01,269.85,283.57,282.92,278.98,22605.31661119
