,Series Name,Period,Frequency,Value,Units
168,"Cushing, OK WTI Spot Price FOB, Daily",20200228,D,44.83,Dollars per Barrel
169,"Cushing, OK WTI Spot Price FOB, Daily",20200227,D,47.17,Dollars per Barrel
170,"Cushing, OK WTI Spot Price FOB, Daily",20200226,D,48.67,Dollars per Barrel
171,"Cushing, OK WTI Spot Price FOB, Daily",20200225,D,49.78,Dollars per Barrel
172,"Cushing, OK WTI Spot Price FOB, Daily",20200224,D,51.36,Dollars per Barrel
173,"Cushing, OK WTI Spot Price FOB, Daily",20200221,D,53.36,Dollars per Barrel
174,"Cushing, OK WTI Spot Price FOB, Daily",20200220,D,53.77,Dollars per Barrel
175,"Cushing, OK WTI Spot Price FOB, Daily",20200219,D,53.31,Dollars per Barrel
176,"Cushing, OK WTI Spot Price FOB, Daily",20200218,D,52.1,Dollars per Barrel
177,"Cushing, OK WTI Spot Price FOB, Daily",20200217,D,52.03,Dollars per Barrel
178,"Cushing, OK WTI Spot Price FOB, Daily",20200214,D,52.03,Dollars per Barrel
179,"Cushing, OK WTI Spot Price FOB, Daily",20200213,D,51.41,Dollars per Barrel
180,"Cushing, OK WTI Spot Price FOB, Daily",20200212,D,51.13,Dollars per Barrel
181,"Cushing, OK WTI Spot Price FOB, Daily",20200211,D,50.0,Dollars per Barrel
182,"Cushing, OK WTI Spot Price FOB, Daily",20200210,D,49.59,Dollars per Barrel
183,"Cushing, OK WTI Spot Price FOB, Daily",20200207,D,50.34,Dollars per Barrel
184,"Cushing, OK WTI Spot Price FOB, Daily",20200206,D,50.94,Dollars per Barrel
185,"Cushing, OK WTI Spot Price FOB, Daily",20200205,D,50.87,Dollars per Barrel
186,"Cushing, OK WTI Spot Price FOB, Daily",20200204,D,49.59,Dollars per Barrel
187,"Cushing, OK WTI Spot Price FOB, Daily",20200203,D,50.06,Dollars per Barrel
188,"Cushing, OK WTI Spot Price FOB, Daily",20200131,D,51.58,Dollars per Barrel
189,"Cushing, OK WTI Spot Price FOB, Daily",20200130,D,52.19,Dollars per Barrel
190,"Cushing, OK WTI Spot Price FOB, Daily",20200129,D,53.29,Dollars per Barrel
191,"Cushing, OK WTI Spot Price FOB, Daily",20200128,D,53.33,Dollars per Barrel
192,"Cushing, OK WTI Spot Price FOB, Daily",20200127,D,53.09,Dollars per Barrel
193,"Cushing, OK WTI Spot Price FOB, Daily",20200124,D,54.09,Dollars per Barrel
194,"Cushing, OK WTI Spot Price FOB, Daily",20200123,D,55.51,Dollars per Barrel
195,"Cushing, OK WTI Spot Price FOB, Daily",20200122,D,56.76,Dollars per Barrel
196,"Cushing, OK WTI Spot Price FOB, Daily",20200121,D,58.25,Dollars per Barrel
197,"Cushing, OK WTI Spot Price FOB, Daily",20200117,D,58.55,Dollars per Barrel
198,"Cushing, OK WTI Spot Price FOB, Daily",20200116,D,58.52,Dollars per Barrel
