,Series Name,Period,Frequency,Value,Units
138,"U.S. Ending Stocks of Crude Oil, Weekly",20180302,W,1091364,Thousand Barrels
139,"U.S. Ending Stocks of Crude Oil, Weekly",20180223,W,1088779,Thousand Barrels
140,"U.S. Ending Stocks of Crude Oil, Weekly",20180216,W,1085351,Thousand Barrels
141,"U.S. Ending Stocks of Crude Oil, Weekly",20180209,W,1087663,Thousand Barrels
142,"U.S. Ending Stocks of Crude Oil, Weekly",20180202,W,1085402,Thousand Barrels
143,"U.S. Ending Stocks of Crude Oil, Weekly",20180126,W,1083045,Thousand Barrels
144,"U.S. Ending Stocks of Crude Oil, Weekly",20180119,W,1076037,Thousand Barrels
145,"U.S. Ending Stocks of Crude Oil, Weekly",20180112,W,1076872,Thousand Barrels
146,"U.S. Ending Stocks of Crude Oil, Weekly",20180105,W,1083262,Thousand Barrels
147,"U.S. Ending Stocks of Crude Oil, Weekly",20171229,W,1088211,Thousand Barrels
148,"U.S. Ending Stocks of Crude Oil, Weekly",20171222,W,1095274,Thousand Barrels
149,"U.S. Ending Stocks of Crude Oil, Weekly",20171215,W,1099785,Thousand Barrels
150,"U.S. Ending Stocks of Crude Oil, Weekly",20171208,W,1105897,Thousand Barrels
151,"U.S. Ending Stocks of Crude Oil, Weekly",20171201,W,1110766,Thousand Barrels
152,"U.S. Ending Stocks of Crude Oil, Weekly",20171124,W,1118824,Thousand Barrels
153,"U.S. Ending Stocks of Crude Oil, Weekly",20171117,W,1124617,Thousand Barrels
154,"U.S. Ending Stocks of Crude Oil, Weekly",20171110,W,1128197,Thousand Barrels
155,"U.S. Ending Stocks of Crude Oil, Weekly",20171103,W,1127049,Thousand Barrels
156,"U.S. Ending Stocks of Crude Oil, Weekly",20171027,W,1125493,Thousand Barrels
157,"U.S. Ending Stocks of Crude Oil, Weekly",20171020,W,1128718,Thousand Barrels
158,"U.S. Ending Stocks of Crude Oil, Weekly",20171013,W,1128176,Thousand Barrels
159,"U.S. Ending Stocks of Crude Oil, Weekly",20171006,W,1134665,Thousand Barrels
160,"U.S. Ending Stocks of Crude Oil, Weekly",20170929,W,1138612,Thousand Barrels
161,"U.S. Ending Stocks of Crude Oil, Weekly",20170922,W,1145587,Thousand Barrels
162,"U.S. Ending Stocks of Crude Oil, Weekly",20170915,W,1148229,Thousand Barrels
163,"U.S. Ending Stocks of Crude Oil, Weekly",20170908,W,1145248,Thousand Barrels
164,"U.S. Ending Stocks of Crude Oil, Weekly",20170901,W,1140953,Thousand Barrels
165,"U.S. Ending Stocks of Crude Oil, Weekly",20170825,W,1136653,Thousand Barrels
166,"U.S. Ending Stocks of Crude Oil, Weekly",20170818,W,1142048,Thousand Barrels
167,"U.S. Ending Stocks of Crude Oil, Weekly",20170811,W,1145375,Thousand Barrels
168,"U.S. Ending Stocks of Crude Oil, Weekly",20170804,W,1154320,Thousand Barrels
169,"U.S. Ending Stocks of Crude Oil, Weekly",20170728,W,1160772,Thousand Barrels
170,"U.S. Ending Stocks of Crude Oil, Weekly",20170721,W,1162300,Thousand Barrels
171,"U.S. Ending Stocks of Crude Oil, Weekly",20170714,W,1169508,Thousand Barrels
172,"U.S. Ending Stocks of Crude Oil, Weekly",20170707,W,1174237,Thousand Barrels
173,"U.S. Ending Stocks of Crude Oil, Weekly",20170630,W,1184951,Thousand Barrels
174,"U.S. Ending Stocks of Crude Oil, Weekly",20170623,W,1191649,Thousand Barrels
175,"U.S. Ending Stocks of Crude Oil, Weekly",20170616,W,1192937,Thousand Barrels
176,"U.S. Ending Stocks of Crude Oil, Weekly",20170609,W,1196171,Thousand Barrels
177,"U.S. Ending Stocks of Crude Oil, Weekly",20170602,W,1198233,Thousand Barrels
178,"U.S. Ending Stocks of Crude Oil, Weekly",20170526,W,1196594,Thousand Barrels
179,"U.S. Ending Stocks of Crude Oil, Weekly",20170519,W,1204001,Thousand Barrels
180,"U.S. Ending Stocks of Crude Oil, Weekly",20170512,W,1208831,Thousand Barrels
181,"U.S. Ending Stocks of Crude Oil, Weekly",20170505,W,1211312,Thousand Barrels
182,"U.S. Ending Stocks of Crude Oil, Weekly",20170428,W,1217110,Thousand Barrels
183,"U.S. Ending Stocks of Crude Oil, Weekly",20170421,W,1219512,Thousand Barrels
184,"U.S. Ending Stocks of Crude Oil, Weekly",20170414,W,1223654,Thousand Barrels
185,"U.S. Ending Stocks of Crude Oil, Weekly",20170407,W,1224887,Thousand Barrels
186,"U.S. Ending Stocks of Crude Oil, Weekly",20170331,W,1227678,Thousand Barrels
187,"U.S. Ending Stocks of Crude Oil, Weekly",20170324,W,1226636,Thousand Barrels
188,"U.S. Ending Stocks of Crude Oil, Weekly",20170317,W,1226493,Thousand Barrels
189,"U.S. Ending Stocks of Crude Oil, Weekly",20170310,W,1222165,Thousand Barrels
190,"U.S. Ending Stocks of Crude Oil, Weekly",20170303,W,1223218,Thousand Barrels
191,"U.S. Ending Stocks of Crude Oil, Weekly",20170224,W,1215260,Thousand Barrels
192,"U.S. Ending Stocks of Crude Oil, Weekly",20170217,W,1213761,Thousand Barrels
193,"U.S. Ending Stocks of Crude Oil, Weekly",20170210,W,1213197,Thousand Barrels
194,"U.S. Ending Stocks of Crude Oil, Weekly",20170203,W,1203670,Thousand Barrels
195,"U.S. Ending Stocks of Crude Oil, Weekly",20170127,W,1189841,Thousand Barrels
196,"U.S. Ending Stocks of Crude Oil, Weekly",20170120,W,1183377,Thousand Barrels
197,"U.S. Ending Stocks of Crude Oil, Weekly",20170113,W,1180537,Thousand Barrels
198,"U.S. Ending Stocks of Crude Oil, Weekly",20170106,W,1178191,Thousand Barrels
199,"U.S. Ending Stocks of Crude Oil, Weekly",20161230,W,1174094,Thousand Barrels
200,"U.S. Ending Stocks of Crude Oil, Weekly",20161223,W,1181145,Thousand Barrels
201,"U.S. Ending Stocks of Crude Oil, Weekly",20161216,W,1180532,Thousand Barrels
202,"U.S. Ending Stocks of Crude Oil, Weekly",20161209,W,1178277,Thousand Barrels
203,"U.S. Ending Stocks of Crude Oil, Weekly",20161202,W,1180840,Thousand Barrels
204,"U.S. Ending Stocks of Crude Oil, Weekly",20161125,W,1183230,Thousand Barrels
205,"U.S. Ending Stocks of Crude Oil, Weekly",20161118,W,1184115,Thousand Barrels
206,"U.S. Ending Stocks of Crude Oil, Weekly",20161111,W,1185371,Thousand Barrels
207,"U.S. Ending Stocks of Crude Oil, Weekly",20161104,W,1180097,Thousand Barrels
208,"U.S. Ending Stocks of Crude Oil, Weekly",20161028,W,1177666,Thousand Barrels
209,"U.S. Ending Stocks of Crude Oil, Weekly",20161021,W,1163247,Thousand Barrels
210,"U.S. Ending Stocks of Crude Oil, Weekly",20161014,W,1163800,Thousand Barrels
211,"U.S. Ending Stocks of Crude Oil, Weekly",20161007,W,1169048,Thousand Barrels
212,"U.S. Ending Stocks of Crude Oil, Weekly",20160930,W,1164199,Thousand Barrels
213,"U.S. Ending Stocks of Crude Oil, Weekly",20160923,W,1167176,Thousand Barrels
214,"U.S. Ending Stocks of Crude Oil, Weekly",20160916,W,1169058,Thousand Barrels
215,"U.S. Ending Stocks of Crude Oil, Weekly",20160909,W,1175259,Thousand Barrels
216,"U.S. Ending Stocks of Crude Oil, Weekly",20160902,W,1175818,Thousand Barrels
217,"U.S. Ending Stocks of Crude Oil, Weekly",20160826,W,1190332,Thousand Barrels
218,"U.S. Ending Stocks of Crude Oil, Weekly",20160819,W,1188057,Thousand Barrels
219,"U.S. Ending Stocks of Crude Oil, Weekly",20160812,W,1185557,Thousand Barrels
220,"U.S. Ending Stocks of Crude Oil, Weekly",20160805,W,1188065,Thousand Barrels
221,"U.S. Ending Stocks of Crude Oil, Weekly",20160729,W,1187013,Thousand Barrels
222,"U.S. Ending Stocks of Crude Oil, Weekly",20160722,W,1185600,Thousand Barrels
223,"U.S. Ending Stocks of Crude Oil, Weekly",20160715,W,1183929,Thousand Barrels
224,"U.S. Ending Stocks of Crude Oil, Weekly",20160708,W,1186272,Thousand Barrels
225,"U.S. Ending Stocks of Crude Oil, Weekly",20160701,W,1188820,Thousand Barrels
226,"U.S. Ending Stocks of Crude Oil, Weekly",20160624,W,1191045,Thousand Barrels
227,"U.S. Ending Stocks of Crude Oil, Weekly",20160617,W,1195098,Thousand Barrels
228,"U.S. Ending Stocks of Crude Oil, Weekly",20160610,W,1196015,Thousand Barrels
